"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
487,481,"466","LATINA FREDDO SCARL","Cisterna Di Latina, Italia","LT","12.932.969","14.456.582","71.967","81.626","0,56","0,56","5,25","6,28",41.590639,12.829048
488,482,"495","VINCI LOGISTIC SRL","Verolanuova, Italia","BS","12.845.901","13.248.272","434.281","377.879","3,38","2,85","29,51","36,03",45.3285814,10.0760863
489,483,"683","FLORENCE SHIPPING SRL","Firenze, Italia","FI","12.816.568","6.929.179","539.591","42.090","4,21","0,61","65,55","5,37",43.7698712,11.2555757
490,484,"512","DELTA UNO SERVIZI SPA","Ciampino, Italia","RM","12.793.499","12.848.374","2.234.870","4.162.884","17,47","32,40","15,13","33,21",41.8002891,12.6004706
491,485,"521","DELLO IACONO TRASPORTI SRL","Terracina, Italia","LT","12.791.540","12.563.178","66.812","66.682","0,52","0,53","2,98","3,06",41.2871196,13.2492009
492,486,"507","LOGWIN AIR + OCEAN ITALY SRL","Caleppio Di Settala, Italia","MI","12.734.417","12.928.704","194.265","439.638","1,53","3,40","17,92","31,70",45.4343038,9.3816923
493,487,"496","ISCOTRANS SPA","Genova, Italia","GE","12.720.482","13.243.635","235.216","73.292","1,85","0,55","9,54","3,22",44.40726,8.9338624
494,488,"472","L.G. LOGISTIC GROUP SRL","Genova, Italia","GE","12.675.011","14.162.703","197.036","328.301","1,55","2,32","14,20","27,58",44.40726,8.9338624
495,489,"527","RICOTTO SRL","Villafranca Piemonte, Italia","TO","12.646.454","12.420.590","610.011","504.155","4,82","4,06","7,94","14,68",44.778939,7.500424
496,490,"452","UNILEVER ITALIA LOGISTICS SRL","Roma, Italia","RM","12.641.352","14.889.810","1.488.393","511.927","11,77","3,44","11,58","4,51",41.8933203,12.4829321
497,491,"548","LOGISTICA SEPE GROUP SRL","Volla, Italia",NA,"12.640.236","11.518.158","544.966","506.029","4,31","4,39","55,13","47,11",40.878411,14.342932
498,492,"515","SIGEA GENOVA ARQUATA SPA","Genova, Italia","GE","12.597.973","12.741.991","229.010","210.389","1,82","1,65","2,84","2,68",44.40726,8.9338624
499,493,"508","SERVIZI LOGISTICI INTEGRATI","Ferentino, Italia","FR","12.539.932","12.905.427","123.134","26.876","0,98","0,21","53,47","25,08",41.692932,13.2534215
500,494,"556","ARBOREA LOGISTICA SRL","Arborea, Italia","OR","12.537.791","11.214.627","7.744","10.814","0,06","0,10","10,49","16,37",39.7738457,8.5817533
501,495,"523","LOGI SERVICE SOC. COOP. ARL","Mercato San Severino, Italia","SA","12.527.725","12.521.258","115.496","50.516","0,92","0,40","15,80","8,03",40.7833028,14.7557276
502,496,"514","JERICH ITALIA SRL","Venezia, Italia","VE","12.515.011","12.797.867","403.641","143.327","3,23","1,12","55,47","30,28",45.4371908,12.3345898
503,497,"491","FIORAVANTI SRL","Milano, Italia","MI","12.414.193","13.494.900","179.622","-83.112","1,45","-0,62","5,17","-18,75",45.4641943,9.1896346
504,498,"447","ASSISPED SPA","Roveredo In Piano, Italia","PN","12.399.372","15.110.361","6.312","4.869","0,05","0,03","0,95","1,22",46.0110584,12.6202908
505,499,"589","AUTOTRASPORTI AMT SRL","Frosinone, Italia","FR","12.348.182","9.942.319","786.006","94.186","6,37","0,95","20,03","2,67",41.6285468,13.5758497706237
506,500,"554","MANAGEMENT GENERAL BULK","Genova, Italia","GE","12.308.345","11.296.005","726.455","78.278","5,90","0,69","35,44","5,21",44.40726,8.9338624
507,501,"528","INTERTRASPORT SPA","Grassobbio, Italia","BG","12.257.609","12.420.445","349.753","122.383","2,85","0,99","49,57","34,40",45.6572304,9.7231068
508,502,"474","ESPERIA SRL","Catania, Italia","CT","12.161.449","14.031.386","80.791","136.162","0,66","0,97","4,91","8,69",37.5023612,15.0873718
509,503,"484","DI NINO TRASPORTI E DEPOSITI","Pratola Peligna, Italia","AQ","12.129.336","13.637.691","204.563","231.495","1,69","1,70","N.D.","N.D.",42.098314,13.8739802
510,504,"399","SCERNI LOGISTICS SRL","Genova, Italia","GE","12.122.009","16.836.897","321.725","1.812","2,65","0,01","15,18","0,20",44.40726,8.9338624
511,505,"516","C.D. TRANSPORT SRL","Casnate Con Bernate, Italia","CO","12.091.830","12.733.107","92.400","34.565","0,76","0,27","8,86","3,64",45.76048315,9.07427788377327
512,506,"537","ANGELUCCI TRASPORTI SRL","Casoli, Italia","CH","12.089.875","11.928.537","717.400","141.617","5,93","1,19","19,41","7,30",42.114637,14.290214
513,507,"547","AUTOTRASPORTI LOMBARDI SRL","Gussola, Italia","CR","12.064.024","11.618.842","233.861","-282.780","1,94","-2,43","43,11","-91,62",45.0112627,10.3501373
514,508,"506","MANCINELLI LOGISTICA TRASP.","Miglianico, Italia","CH","12.004.544","12.954.419","118.974","119.597","0,99","0,92","6,87","7,42",42.3592392,14.2920741
515,509,"562","ZUCCARO TRASPORTI LOGISTICA","Catania, Italia","CT","11.995.936","10.915.177","1.995.930","1.292.016","16,64","11,84","24,46","20,96",37.5023612,15.0873718
516,510,"440","RENI TRASPORTI CELERI SRL","Verona, Italia","VR","11.986.150","15.425.552","342.817","160.459","2,86","1,04","43,27","35,71",45.4384958,10.9924122
517,511,"509","S.T.S. SPA GENOVA","Genova, Italia","GE","11.947.909","12.868.563","527.481","503.339","4,41","3,91","10,97","11,76",44.40726,8.9338624
518,512,"520","TRASPORTI  F.LLI RONDI SRL","Seriate, Italia","BG","11.857.014","12.635.750","-427.495","194.292","-3,61","1,54","-10,63","4,97",45.6843709,9.7179982
519,513,"545","PMA SRL","Torino, Italia","TO","11.813.843","11.670.752","1.952.075","2.352.357","16,52","20,16","2,02","2,53",45.0677551,7.6824892
520,514,"449","BAGGIO SPA","Venezia, Italia","VE","11.802.921","15.038.614","30.018","317.912","0,25","2,11","0,66","6,83",45.4371908,12.3345898
521,515,"510","WELTRA SPA","Genova, Italia","GE","11.795.609","12.859.704","277.496","257.167","2,35","2,00","12,92","13,75",44.40726,8.9338624
522,516,"530","NIEDDU TRAIL BO SRL","Bentivoglio, Italia","BO","11.737.666","12.342.313","68.172","33.630","0,58","0,27","2,36","1,19",44.6357918,11.4171933
523,517,"462","GAST SPEDIZIONI SRL","Genova, Italia","GE","11.730.883","14.566.076","23.354","44.527","0,20","0,31","1,66","3,22",44.40726,8.9338624
524,518,"499","THUN LOGISTICS SRL","Mantova, Italia","MN","11.692.124","13.136.863","-875.377","-611.347","-7,49","-4,65","-42,16","-55,48",45.1692628,10.6708365156739
525,519,"541","ITALCOMBI SPA","Campo Di Trens, Italia","BZ","11.671.908","11.845.766","-110.495","406.704","-0,95","3,43","-2,76","23,83",46.85714905,11.5090740315162
526,520,"525","ESSEBI AUTOTRASPORTI SRL","Castiglione delle Stiviere, Italia","MN","11.648.907","12.448.605","80.711","95.677","0,69","0,77","3,99","4,92",45.3896766,10.4888745
527,521,"599","ALPI SERVICE SRL","Borgo San Dalmazzo, Italia","CN","11.643.044","9.823.764","211.504","162.206","1,82","1,65","24,36","26,38",44.3286517,7.4874561
528,522,"582","MAGSISTEM SRL","Gricignano Di Aversa, Italia","CE","11.605.900","10.210.609","285.717","248.589","2,46","2,43","4,19","3,80",40.9800924,14.2337107
529,523,"N.D.","BRESCIA FIORI SRL","Erbusco, Italia","BS","11.562.801","N.D.","-648.286","N.D.","-5,61","N.D.","-62,31","N.D.",45.5984995,9.9722164
530,524,"566","KLINGENBERG SRL","Napoli, Italia",NA,"11.536.791","10.839.996","1.324.855","732.677","11,48","6,76","18,76","12,77",40.8358846,14.2487679
531,525,"535","PETRA SPA (GRUPPO PIR)","Ravenna, Italia","RA","11.529.581","12.079.280","2.354.635","2.078.613","20,42","17,21","5,23","26,63",44.3640607,12.0590094908639
532,526,"66","PANALPINA SPA (DSV)","Cerro Maggiore, Italia","MI","11.443.973","100.839.628","-2.543.395","-7.981.689","-22,22","-7,92","N.D.","N.D.",45.5930123,8.9513923
533,527,"534","ATLANTICA TRASPORTI SRL","Fontevivo, Italia","PR","11.396.600","12.121.579","-249.310","-29.200","-2,19","-0,24","N.D.","N.D.",44.858765,10.17518
534,528,"485","GIDD SRL","Agrate Brianza, Italia","MI","11.386.614","13.626.631","234.667","429.928","2,06","3,16","15,96","56,00",45.5761735,9.3509475
535,529,"573","CASILLI ENTERPRISE SRL","Nola, Italia",NA,"11.358.842","10.557.318","206.057","220.590","1,81","2,09","N.D.","N.D.",40.9210826,14.5327402
536,530,"519","VICENZASPED  SRL","Vicenza, Italia","VI","11.307.816","12.659.273","303.169","106.312","2,68","0,84","8,95","3,43",45.63485905,11.4063542566025
537,531,"553","M.T.L. MONTICHIARI TRASP. LOG.","Montichiari, Italia","BS","11.293.734","11.344.021","226.011","25.109","2,00","0,22","21,08","5,83",45.415181,10.390675
538,532,"594","G.B. TRASPORTI SPA","San Paolo d'Argon, Italia","BG","11.268.179","9.886.856","16.363","207.609","0,15","2,10","0,59","7,51",45.6885572,9.8040661
539,533,"558","SIT SOC. ITALIANA TRASP. SRL","Milano, Italia","MI","11.264.061","11.151.806","118.783","201.174","1,05","1,80","3,35","8,11",45.4641943,9.1896346
540,534,"557","GILMAC SRL (GRP LEOCATA)","Modica, Italia","RG","11.236.411","11.156.059","306.401","216.087","2,73","1,94","6,33","4,76",36.8589209,14.7613018
541,535,"536","SWISS POST SOLUTIONS SPA","San Donato Milanese, Italia","MI","11.221.007","12.036.113","799.607","396.965","7,13","3,30","21,29","8,18",45.41807,9.27165
542,536,"359","NEXIVE SERVICES SRL","Milano, Italia","MI","11.199.807","19.854.584","-7.101.178","-45.838.336","-63,40","-230,87","-191,22","N.D.",45.4641943,9.1896346
543,537,"578","BERTIN SRL SPEDIZIONI","Pove Del Grappa, Italia","PD","11.171.545","10.259.355","471.392","233.257","4,22","2,27","24,03","21,20",45.7991169,11.7291016
544,538,"417","SETRASPED SPA","Ravenna, Italia","RA","11.001.133","16.252.781","-154.323","66.025","-1,40","0,41","-12,43","4,73",44.3640607,12.0590094908639
545,539,"309","ITSA SPA","Roma, Italia","RM","10.926.275","24.579.508","-3.053.768","-5.565.774","-27,95","-22,64","N.D.","N.D.",41.8933203,12.4829321
546,540,"482","UNIFRET VIDALE INTERNATIONAL","Segrate, Italia","MI","10.886.430","13.715.199","-231.408","9.917","-2,13","0,07","-8,11","0,45",45.4907352,9.2948204
547,541,"542","SPEDIPRA SRL","Cassano Magnago, Italia","VA","10.843.416","11.839.359","1.387.132","272.611","12,79","2,30","18,59","5,64",45.6752214,8.8255843
548,542,"549","DEUFOL ITALIA SPA","Cernusco Sul Naviglio, Italia","MI","10.831.313","11.506.866","109.389","-1.698.108","1,01","-14,76","15,32","-280,82",45.5245578,9.330925
549,543,"531","MECTRANS SRL","Gerbole Di Volvera, Italia","TO","10.781.927","12.327.802","-112.702","-164.681","-1,05","-1,34","-94,89","-71,16",44.9736069,7.5195121
550,544,"N.D.","MAGIS SPA (ALVI FOOD)","Pavia, Italia","PV","10.632.977","4.892.177","41.545","102.400","0,39","2,09","N.D.","N.D.",45.03685465,9.13782508282603
552,545,"570","MOVEST SPA","San Giorgio Di Nogaro, Italia","UD","10.624.174","10.715.900","450.159","513.770","4,24","4,79","23,66","N.D.",45.8320236,13.2111453
553,546,"438","DOCKS CEREALI (GRUPPO PIR)","Ravenna, Italia","RA","10.596.879","15.451.565","-491.451","161.884","-4,64","1,05","-1,72","0,55",44.3640607,12.0590094908639
554,547,"571","LOGISTIC GROUP INT. SPA","Fabriano, Italia","AN","10.560.660","10.667.322","716.767","423.125","6,79","3,97","9,04","5,87",43.3358407,12.9046187
555,548,"544","CENTRO SERVIZI DERNA SRL","Genova, Italia","GE","10.559.235","11.713.417","622.892","509.423","5,90","4,35","31,29","37,24",44.40726,8.9338624
556,549,"596","LID LOGISTIC SRL","Milano, Italia","MI","10.527.151","9.847.142","-179.841","30.717","-1,71","0,31","-13,03","1,30",45.4641943,9.1896346
557,550,"607","ALIBERTI DONNIACUO SRL","Montoro Superiore, Italia","AV","10.519.486","9.529.106","892.028","907.173","8,48","9,52","7,27","16,87",40.8316444,14.8021084
558,551,"489","D.R.S. DEP. REG. SURGELATI","Latina Scalo, Italia","LT","10.467.611","13.543.550","148.664","376.211","1,42","2,78","1,14","2,90",41.5299744,12.9457383244676
559,552,"N.D.","AZZURRA SOC. COOP. ARL","San Polo Torrile, Italia","PR","10.451.348","11.052.016","38.204","41.325","0,37","0,37","N.D.","N.D.",44.8902978,10.3550043
560,553,"497","EMBASSY CARGO SPA","Prato, Italia","PO","10.390.098","13.199.215","-150.946","401.764","-1,45","3,04","-5,62","14,16",43.93571805,11.0941472677009
561,554,"611","PELLEGRINI TRASPORTI SRL","Villafranca, Italia","VR","10.323.684","9.236.246","762.714","332.026","7,39","3,59","9,88","7,14",44.2957339,12.0181633
562,555,"581","TD ITALIA SRL","Borgaro Torinese, Italia","TO","10.294.017","10.239.297","227.092","180.601","2,21","1,76","11,37","10,20",45.1521446,7.6579731
563,556,"569","TONOLI SPEDIZIONI SRL","Verzuolo, Italia","CN","10.292.765","10.721.465","639.733","716.891","6,22","6,69","12,72","19,71",44.6028992,7.4749407
564,557,"572","SAVING SPED SRL","Opera, Italia","MI","10.209.096","10.605.178","167.674","-27.370","1,64","-0,26","19,06","-3,84",45.373069,9.211149
565,558,"501","FAHRENHEIT LOGISTICS SRL","Padova, Italia","PD","10.182.894","13.119.538","19.530","17.683","0,19","0,13","24,96","34,08",45.4077172,11.8734455
566,559,"522","RICCARDO SANGES E C. SRL","Trapani, Italia","TP","10.145.871","12.527.832","260.495","-570.001","2,57","-4,55","4,03","-13,65",38.0174321,12.515992
567,560,"574","BORGHI ITALIA SRL","Vimercate, Italia","MB","10.128.465","10.489.846","531.025","862.602","5,24","8,22","N.D.","N.D.",45.6139627,9.37006
568,561,"532","SER.NAV SRL","La Spezia, Italia","SP","10.095.939","12.303.417","74.992","409.975","0,74","3,33","2,42","13,65",44.23836595,9.69123263454754
569,562,"579","COMET COMP. MEDIAZ. TRASP.","Messina, Italia","ME","10.077.531","10.249.536","253.931","55.577","2,52","0,54","13,50","3,42",38.1937571,15.5542082
570,563,"665","MENO20 SRL","Bari, Italia","BA","10.064.544","7.343.164","12.703","13.737","0,13","0,19","7,07","8,23",41.1257843,16.8620293
571,564,"585","GUALDI ALESSIO TRASPORTI","Boltiere, Italia","BG","9.969.602","10.083.871","213.950","264.248","2,15","2,62","33,91","56,59",45.600878,9.578453
572,565,"563","ITC - AGECO SRL","Piacenza, Italia","PC","9.918.690","10.887.520","278.462","322.773","2,81","2,96","5,35","7,75",44.8476352,9.6665312576969
573,566,"567","N. TOZZI SRL","Livorno, Italia","LI","9.917.237","10.769.481","664.911","957.369","6,70","8,89","10,44","10,03",42.7902166,10.340278678735
574,567,"564","ROMANI & C. SPA","Genova, Italia","GE","9.883.736","10.872.871","78.087","260.010","0,79","2,39","1,80","5,87",44.40726,8.9338624
575,568,"560","F.LLI SEBETO TRASPORTI SRL","Sant' Anastasia, Italia",NA,"9.849.891","10.943.119","244.821","71.246","2,49","0,65","14,97","5,22",40.866911,14.404833
576,569,"600","SCHNEIDER ITALIA SRL","Pordenone, Italia","PN","9.846.763","9.776.680","188.644","124.000","1,92","1,27","N.D.","N.D.",45.9562503,12.6597197
577,570,"750","A.P. LOGISTIC SRL","Genova, Italia","GE","9.844.323","5.621.155","9.077","3.246","0,09","0,06","1,29","0,47",44.40726,8.9338624
578,571,"561","LOGISTICOOP SOC. COOP.","Genova, Italia","GE","9.839.658","10.937.000","8.218","401.291","0,08","3,67","0,81","38,16",44.40726,8.9338624
579,572,"604","F.LLI MAZZOCCO TRASPORTI","Porto Viro, Italia","RO","9.742.152","9.666.596","76.193","72.634","0,78","0,75","8,90","9,31",45.0253113,12.2252372
580,573,"673","MAS LOGISTICS SRL","Carre', Italia","VI","9.730.587","7.170.291","-105.011","381.230","-1,08","5,32","N.D.","N.D.",45.7483844,11.4592977
581,574,"631","SOLUZIONI LOGISTICHE FREDDO","Centobuchi, Italia","AP","9.669.854","8.298.755","391.545","304.484","4,05","3,67","25,08","71,69",42.9004528,13.8551982
582,575,"559","C.T.T. SRL CASA DI SPEDIZIONI","Campiglia Marittima, Italia","LI","9.626.430","10.983.537","1.062.372","1.253.110","11,04","11,41","9,37","18,19",43.0606283,10.6154958
583,576,"577","ALL TRANSPORT SRL","San Pietro Al Natisone, Italia","UD","9.564.686","10.277.842","192.752","399.521","2,02","3,89","8,69","18,45",46.126725,13.485233
584,577,"603","IL TRASPORTO SPA","Perego, Italia","LC","9.537.227","9.691.039","522.566","434.029","5,48","4,48","52,80","48,38",45.7373114,9.3597486
585,578,"533","MATRICARDI SPA","Montecosaro, Italia","MC","9.519.357","12.280.475","233.567","800.222","2,45","6,52","N.D.","N.D.",43.3170093,13.6353055
586,579,"601","BARBIERO SPA","Brescia, Italia","BS","9.476.898","9.760.810","54.604","27.903","0,58","0,29","3,32","1,75",45.77958045,10.4258729694612
587,580,"505","LACCHI SPA","Roma, Italia","RM","9.454.357","13.021.377","-122.377","206.370","-1,29","1,58","-3,59","5,84",41.8933203,12.4829321
588,581,"146","DEMA SERVICE SPA","Città Sant' Angelo, Italia","PE","9.447.789","50.264.529","530.222","-545.945","5,61","-1,09","36,70","-7,90",42.518144,14.059203
589,582,"695","LUCENSE TRASPORTI SRL","Capannori, Italia","LU","9.440.380","6.756.906","792.947","422.936","8,40","6,26","46,87","38,49",43.8420391,10.5735254
590,583,"584","SG LOGISTICS SRL","Fiano Romano, Italia","RM","9.419.779","10.104.082","-826.540","-35.985","-8,77","-0,36","-8,41","-0,34",42.1719129,12.5927265
591,584,"614","STUCCI SRL","Modugno, Italia","BA","9.370.302","9.164.090","20.905","13.465","0,22","0,15","8,82","6,23",41.0825639,16.7805515
592,585,"380","OTIM SPA","Milano, Italia","MI","9.347.111","18.340.706","-992.197","274.867","-10,62","1,50","-24,85","6,85",45.4641943,9.1896346
593,586,"580","FRIGOGEL SRL","Calenzano, Italia","FI","9.303.575","10.242.398","667.998","745.594","7,18","7,28","26,85","31,47",43.8652493,11.1673685
594,587,"671","FIRST KLASS SERVICE SRL","Cardano Al Campo, Italia","VA","9.258.824","7.181.787","235.532","148.694","2,54","2,07","17,77","13,64",45.645717,8.7724976
595,588,"606","SAN MARINO MAIL ITALIA SRL","Milano, Italia","MI","9.221.834","9.540.091","133.152","82.431","1,44","0,86","N.D.","N.D.",45.4641943,9.1896346
596,589,"595","FALCO SRL TRASP. LOGISTICA","Saviano, Italia",NA,"9.169.812","9.867.719","209.465","24.070","2,28","0,24","9,34","1,18",40.905613,14.505035
597,590,"586","C.T.S. COMP. TRASP. SPEDIZIONI","Forli', Italia","FC","9.098.344","10.082.213","178.409","28.554","1,96","0,28","7,92","1,36",44.2227278,12.041273
598,591,"623","CONSORZIO  ITAL. DI LAVORO","Cisterna Di Latina, Italia","LT","8.989.636","8.544.084","64.946","20.579","0,72","0,24","29,14","13,03",41.590639,12.829048
599,592,"605","C.R.D. SRL","Gricignano Di Aversa, Italia","CE","8.928.040","9.569.949","237.355","143.064","2,66","1,49","N.D.","N.D.",40.9800924,14.2337107
600,593,"613","LSG LOGISTIC & SERV. GROUP","Firenze, Italia","FI","8.873.176","9.218.164","189.423","179.940","2,13","1,95","N.D.","N.D.",43.7698712,11.2555757
601,594,"610","GAVIO E TORTI  SPA","Tortona, Italia","AL","8.868.940","9.322.442","1.155.764","608.673","13,03","6,53","39,10","33,81",44.89666,8.8641282
602,595,"618","SO.LOG SOLUZIONI LOGISTICHE","Origgio, Italia","VA","8.867.257","8.990.544","253.066","-104.053","2,85","-1,16","8,65","-3,69",45.5976933,9.0180613
603,596,"641","S.I.C.P.A. SRL","Verolanuova, Italia","BS","8.846.392","7.833.009","1.047.455","471.763","11,84","6,02","6,18","4,79",45.3285814,10.0760863
604,597,"666","AZ SERVIZI & LOGISTICA SRL","Novi Ligure, Italia","AL","8.842.934","7.316.390","257.203","152.125","2,91","2,08","24,23","26,49",44.76085,8.789551
605,598,"638","SAT CARGO SRL","Lainate, Italia","MI","8.816.449","7.927.862","17.338","182.957","0,20","2,31","4,71","34,59",45.5717302,9.028461
606,599,"391","ARTERIA SRL","Milano, Italia","MI","8.758.280","17.278.943","916.027","-1.200.429","10,46","-6,95","16,30","-25,51",45.4641943,9.1896346
607,600,"609","F.LLI MONTORFANO SRL","Figino Serenza, Italia","CO","8.680.828","9.325.976","24.843","61.899","0,29","0,66","7,96","21,56",45.7097797,9.1289394
608,601,"642","PENTAGON ITALIA SRL","Milano, Italia","MI","8.611.285","7.817.898","432.111","310.065","5,02","3,97","20,28","16,23",45.4641943,9.1896346
609,602,"546","DORICA TRASPORTI SOC. COOP.","Offagna, Italia","AN","8.594.663","11.648.134","-66.135","46.793","-0,77","0,40","-19,44","10,63",43.5276817,13.4414721
610,603,"633","T.L.I. SRL TRASP. LOGISTICA","Catania, Italia","CT","8.581.382","8.246.862","464.626","21.139","5,41","0,26","44,86","9,33",37.5023612,15.0873718
611,604,"602","VANGUARD LOGISTICS ITALY","Milano, Italia","MI","8.548.981","9.714.934","-952.721","164.516","-11,14","1,69","-276,31","12,68",45.4641943,9.1896346
612,605,"653","BISI LOGISTICA SRL","Milano, Italia","MI","8.529.215","7.533.773","56.078","51.678","0,66","0,69","8,13","8,16",45.4641943,9.1896346
613,606,"648","DCS LIBURNUS PROJECT SRL","Livorno, Italia","LI","8.528.807","7.621.234","6.308","21.461","0,07","0,28","0,63","2,16",42.7902166,10.340278678735
614,607,"651","LOGISTICS & TRAFFIC CENTRE","Corciano, Italia","PG","8.396.522","7.591.284","327.917","192.907","3,91","2,54","14,00","9,58",43.1290269,12.287718
615,608,"715","NORD EST GROUP SRL","San Vito Al Tagliamento, Italia","PN","8.302.469","6.212.557","263.212","-119.131","3,17","-1,92","26,41","-74,15",45.91980515,12.8518930566267
616,609,"617","LANZI TRASPORTI SRL","Fontevivo, Italia","PR","8.296.001","9.038.569","186.190","59.968","2,24","0,66","12,97","7,41",44.858765,10.17518
617,610,"632","CLOSE LOGISTICS SRL","Milano, Italia","MI","8.240.118","8.259.378","97.008","98.725","1,18","1,20","11,74","13,54",45.4641943,9.1896346
618,611,"612","C.T.I. SPA","Altivole, Italia","TV","8.235.042","9.223.390","-165.934","11.991","-2,01","0,13","-88,03","3,38",45.7540029,11.9553621
619,612,"583","LOGIC SPED SRL","Roncadelle, Italia","BS","8.233.964","10.146.986","-24.191","33.782","-0,29","0,33","-5,26","6,98",45.5276081,10.1497012
621,613,"635","DA ROLD SRL","Belluno, Italia","BL","8.154.539","8.047.057","15.104","50.746","0,19","0,63","N.D.","4,42",46.2805407,12.0789137225042
622,614,"624","3B LOGISTIC SRL","Ravenna, Italia","RA","8.136.010","8.525.813","-163.024","-64.449","-2,00","-0,76","-6,36","-2,37",44.3640607,12.0590094908639
623,615,"575","OTIM SRL","Genova, Italia","GE","8.081.209","10.357.548","20.872","148.213","0,26","1,43","1,39","8,34",44.40726,8.9338624
624,616,"592","MONFER SPA","Cuneo, Italia","CN","8.057.937","9.908.337","1.982.826","3.008.278","24,61","30,36","6,94","12,18",44.45807035,7.55813669115162
625,617,"626","MAG. GEN. SILOS FRIG. SPA","Napoli, Italia",NA,"7.999.883","8.456.265","540.859","111.556","6,76","1,32","11,22","2,61",40.8358846,14.2487679
626,618,"669","MERCURIO SUD SRL","Napoli, Italia",NA,"7.990.146","7.185.732","31.044","19.922","0,39","0,28","12,01","8,76",40.8358846,14.2487679
627,619,"688","FORMARO SPEDIZIONI SRL","Pordenone, Italia","PN","7.965.451","6.850.908","29.700","25.788","0,37","0,38","6,65","6,18",45.9562503,12.6597197
628,620,"621","BONGIORNO SRL","Gallarate, Italia","VA","7.877.371","8.806.782","-45.442","-22.768","-0,58","-0,26","-9,55","-4,69",45.6598951,8.7932013
629,621,"597","DAP SIDES EUROLOGISTICA","Rho, Italia","MI","7.863.116","9.839.765","55.418","212.193","0,70","2,16","5,98","24,35",45.528878,9.04156
630,622,"543","CASSOL SRL","Santa Giustina, Italia","BL","7.857.366","11.796.431","203.791","16.075","2,59","0,14","39,38","5,12",44.0683524,12.4838248
631,623,"637","GATTO TRASPORTI SRL","Grisignano Di Zocco, Italia","VI","7.833.386","7.928.954","9.235","47.870","0,12","0,60","N.D.","N.D.",45.4753396,11.6989495
632,624,"650","CEPIM SPA","Fontevivo, Italia","PR","7.780.818","7.597.894","-368.836","204.530","-4,74","2,69","-1,58","0,86",44.858765,10.17518
633,625,"661","ONT SPA MAGAZZINI GENERALI","Milano, Italia","MI","7.772.345","7.427.311","53.483","207.748","0,69","2,80","14,18","49,02",45.4641943,9.1896346
634,626,"664","BARTH ITALIANA SRL","Bassano Del Grappa, Italia","VI","7.765.657","7.392.447","20.509","-2.764","0,26","-0,04","2,37","-0,80",45.7669109,11.7343469
635,627,"598","EUROTRASPORTI SCPA","Bagnatica, Italia","BG","7.693.852","9.831.756","-194.426","43.490","-2,53","0,44","-131,75","12,60",45.660881,9.781057
636,628,"622","CITTADELLA SPEDIZIONI SRL","Galliera Veneta, Italia","PD","7.651.518","8.699.936","-19.485","70.691","-0,25","0,81","-6,19","21,14",45.6628395,11.8284875
637,629,"667","BENACO TRANS SRL","Soiano Del Lago, Italia","BS","7.599.719","7.296.244","158.855","-34.977","2,09","-0,48","47,00","-19,53",45.527784,10.512675
638,630,"628","FARINATO SPA","Venezia, Italia","VE","7.591.736","8.354.547","282.899","80.558","3,73","0,96","13,19","4,33",45.4371908,12.3345898
639,631,"780","FT SERVICE SRL","Carpi, Italia","MO","7.578.251","4.926.766","42.385","27.398","0,56","0,56","17,11","-186,24",44.7835699,10.8854523
640,632,"684","ICT LOGISTICA SRL","Empoli, Italia","FI","7.552.684","6.917.149","158.190","20.636","2,09","0,30","7,29","1,03",43.7194884,10.9458556
641,633,"616","EMILCARGO SRL","Calderara Di Reno, Italia","BO","7.525.718","9.071.246","26.555","17.424","0,35","0,19","12,72","9,56",44.5630515,11.271693
642,634,"615","TRAVAGLINI LOGISTICS","Atessa, Italia","CH","7.519.531","9.093.281","268.983","355.409","3,58","3,91","8,29","10,76",42.0718059,14.4489025
643,635,"681","TRADING POST EXPR. SERVICE","Bologna, Italia","BO","7.493.470","6.961.776","-224.561","-8.902","-3,00","-0,13","-560,69","-3,36",44.4939334,11.3425798
644,636,"312","EXPOTRANS SRL","Roma, Italia","RM","7.464.859","24.364.347","-1.057.812","735.851","-14,17","3,02","-102,35","32,90",41.8933203,12.4829321
645,637,"689","GENERALI PIO SPA","Formigine, Italia","MO","7.455.465","6.829.495","271.106","73.886","3,64","1,08","7,09","4,83",44.5751432,10.8470277
646,638,"625","C.A.T. FRIULI CONSORZIO TRASP.","Pavia Di Udine, Italia","UD","7.404.277","8.508.665","-68.323","-3.106","-0,92","-0,04","-47,25","-1,33",45.9963174,13.3041373
647,639,"636","PORRINI GROUP","Campogalliano, Italia","MO","7.379.889","7.931.638","41.804","74.918","0,57","0,94","11,31","22,85",44.6905118,10.8407336
648,640,"707","ITALTERMINAL SRL","Ravenna, Italia","RA","7.363.299","6.432.610","931.832","329.479","12,66","5,12","7,14","2,88",44.3640607,12.0590094908639
649,641,"658","MARONE LUIGI SRL","Calvenzano, Italia","BG","7.355.572","7.456.858","447.573","320.592","6,08","4,30","26,53","42,19",45.4949814,9.6012863
650,642,"524","FRIULTRANS SPA","San Giorgio Di Nogaro, Italia","UD","7.321.971","12.464.714","-175.387","-51.817","-2,40","-0,42","-15,72","-4,01",45.8320236,13.2111453
